nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_455	  1005.506054231	   104.958132564	   347.364189442
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_456	    68.511773033	    41.933035965	     2.141446583
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_520	   853.617984578	    97.038908424	     4.426293433
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_171	    51.413768894	    35.508265757	     2.515155756
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_513	    84.404761791	    53.410796407	     1.986370396
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_585	   801.537681180	    97.257979672	     1.768415239
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0	   163.723210719	    65.227799425	     4.981326836	 4
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   790.714435501	    91.269135277	     4.647710838	 6
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0	   740.662497144	    85.715304419	   226.444741632
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_228	    50.061413222	    34.161073271	     3.085636076
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_49	   941.226252726	   102.883977872	    83.828484138
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0	   171.675269940	    65.766750053	   113.169283944
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   818.834167015	    92.725519019	     4.985645448	 4
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_98	   842.436794547	    93.919642109	    68.687293327
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0	    68.460417806	    41.526807812	     4.459212781	 1
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_49	   168.937612724	    66.831713775	    64.564549041
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0	   909.303992362	    94.974473971	    69.578419514
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_147	  1168.599848523	    98.182466930	   356.362634890
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_49	   725.930006618	    87.694287586	    45.108956245
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_285	    48.037595627	    32.637113877	     2.550466872
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_98	   146.477588177	    59.765934672	   222.394870109
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_196	   809.339455689	    89.715927661	     8.464891839
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_98	   866.847965284	    89.570684774	   117.426802374
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_245	   710.492749234	    89.146961824	   107.157961088
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_147	   731.984626038	    87.192265883	    71.777920481
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_147	   176.875266203	    70.335311287	    56.214043410
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_294	  1257.587404312	   116.399216215	   145.667512920
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_342	    50.163341645	    34.532161287	     2.715454609
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_196	   889.380642129	    92.955910483	    84.165989792
nl_bookIII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0	    70.685973243	    42.025573329	    86.585186437
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_343	   739.263725619	    88.207186484	     3.873459149
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_196	   168.027662902	    65.666976453	    10.025333488
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_245	   905.192049814	    91.596693151	   112.192908850
nl_cereal_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_392	   925.885504781	    94.527298885	     2.071278116
nl_cereal_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_245	   147.989214823	    61.883906059	    75.309334485
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_399	    50.116805858	    33.554398269	     2.104548885
nl_bookIII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_65	    75.764544227	    45.270518638	    74.775719183
nl_cereal_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_294	   964.243921433	   102.344705856	     9.607639903
