nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_399	   374.326384285	    82.809622547	     0.525131348
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_65	   548.460633277	    78.478829122	    18.884878689
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_65	   642.514824504	    77.657107825	    36.876665992
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_456	   698.134092295	    87.524297079	     0.671318821
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_260	   310.071378658	    73.595277291	   137.753651895
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_513	  1008.467007626	   113.596596717	     0.049260724
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_130	   460.061325934	    75.472203361	    41.685008477
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_130	   546.323173962	    77.969878144	    20.581418085
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_325	   488.725135805	    81.405378888	   150.302655775
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   674.192309489	   100.370839114	     0.498135101	 0
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_195	   265.347118315	    67.467311374	    54.050111602
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_390	   428.349165275	    77.550698518	   188.838562954
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   833.578481144	    94.732720597	     6.744286002
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_195	   322.958284331	    71.721337745	    44.002094776
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_65	   498.024480320	    86.597581893	     7.058807564
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_455	   248.698938382	    75.242814931	   169.607770925
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_130	   423.367300502	    87.509840209	     9.893446316
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_260	   115.258196007	    57.265950087	    56.287793309
