nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_130	     9.316973571	     8.798531805	    81.106302519
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_455	    10.139095824	     9.507637251	   299.242648058
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_520	     8.891523265	     8.322060849	     4.421195172
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    13.656549178	    12.449699074	   108.239790782
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_585	    10.579664984	     9.872085508	     1.860009460
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_130	     8.821782322	     8.337363939	   110.337045472
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_51	    15.550169541	    14.075413445	   411.894744010
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_195	     9.428110757	     8.899180024	     6.828966905
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_102	    15.063333765	    13.676351513	   122.952389958
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_153	    15.132181978	    13.742061455	    70.993813559
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_204	    14.757843048	    13.436062963	   160.376156648
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_255	    15.191677883	    13.737446298	    65.093291889
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_306	    11.047230908	    10.136884009	    76.214391956
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_357	    15.607416731	    14.067338313	   119.929275766
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.447364175	     9.760454772	     4.369880934	 5
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_408	    15.648919050	    14.165931186	     5.659591056
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_195	     8.903333735	     8.404675759	    99.352455018
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_260	     9.511597867	     8.955169638	   147.106396851
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_459	    15.669539493	    14.146719314	     5.151816708
nl_juice_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    15.458307948	    13.972245588	     8.838455458	 9
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_325	     9.506430554	     8.976892616	   129.167284954
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_260	     9.390209348	     8.852935898	   118.548616730
nl_cereal_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0	    10.580984541	     9.891907421	   128.016829780
nl_mugI_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    15.760869023	    14.281581192	    18.579211090
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_390	     9.517066221	     8.993272822	   160.528062394
