nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_204	   343.554665966	    98.750164063	    18.723160066
nl_bookI_s3	 nnk	 ccre	 8	 1	 nn5kmn400s78s77s76s75s74_ccre24b50r1i4u_8_0_init_53	     5.914253347	     5.657993977	     7.555893002
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_392	   194.159031557	    84.966017004	     3.738568170
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_255	   305.700266108	    86.734639435	    85.686341706
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_441	   224.113698730	    91.914380782	     4.541087405
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_306	   317.639522528	    91.867475009	    25.684625776
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_357	   331.737455277	    99.760687507	     6.392984865
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   179.175856299	    76.482714328	     5.043986433	 0
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_408	   342.169136074	   100.501082697	     6.676160052
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_459	   319.051700031	    93.783578851	     6.727430581
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   219.021888403	    88.594656112	     8.414759298
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_51	   178.334774502	    77.869951392	    11.452354448
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   338.698898222	    97.412858146	     5.087031687	 2
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_102	   199.584314961	    80.034365187	     6.951577961
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   300.721604525	    85.495477136	     1.978757766
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_153	   193.333546193	    81.607605859	     8.815264273
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_38	   337.770414336	    99.688985008	     2.519883040
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_76	   379.745482721	   105.606556188	     2.394722725
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_204	   168.415839103	    68.540712348	    19.764590816
nl_mugI_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_114	   360.628509581	    98.746278752	     2.834760295
nl_juice_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_255	   197.365138257	    81.123087723	   138.037977224
