nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_147	  1046.669009216	    82.567831843	   128.605682234
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_343	  1061.474626729	    93.823202548	     3.912726028
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_228	   114.018669663	    53.745002365	     0.914625405
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_196	  1517.486444425	    87.635528053	    52.027504384
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_392	  1652.547309638	    91.657208264	     0.179503932
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_285	    88.835206876	    45.736972478	     0.545508726
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_441	  2060.017900328	   106.483412117	     0.103689221
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_245	  1197.473358514	    84.719251188	    77.188912573
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_285	   118.544055094	    53.784850674	     0.545738020
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_294	  1190.938075420	    86.100262687	    33.156970646
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_342	   105.150004582	    49.578287998	     0.649300178
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1210.784780591	    88.660012756	     3.035758272	 0
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_343	  1573.823088845	    93.633537253	     3.595283831
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_399	   152.122116590	    58.786122822	     0.524862578
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_342	   111.887746550	    49.242360265	     0.649290804
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1	  1358.293597824	    93.308880914	     2.930783871
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_392	  1862.358405637	    89.582797450	     0.179650907
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_441	  2401.460294853	   108.858920816	     0.103405225
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_456	   209.564026585	    67.957806764	     0.671276200
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_399	   148.127211090	    56.070697072	     0.524937426
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_51	   993.978423006	    86.062975496	     3.252128202
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_513	   258.808170421	    72.978203227	     0.049155230
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1401.592522782	    86.421057513	     5.156256813	 6
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_456	   231.332500240	    68.603089383	     0.672217974
nl_juice_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_102	   858.423365581	    83.300505997	     3.607947580
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_513	   264.197392066	    66.773133304	     0.046950919
nl_juice_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1285.859441772	    84.655316392	    56.696035241
