nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_266	   772.257006886	   100.205962306	     2.369801185
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_49	   892.578694874	   122.002604121	     6.985613033
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_304	   675.389522314	   118.097045507	     5.091098577
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_342	   894.500625312	   113.213855609	     1.474273811
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_98	   820.678421736	   119.578837312	     6.786966634
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   808.491641808	   120.713397664	     3.362630923	 1
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_147	   770.345673761	   111.504140581	   208.348091129
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	  1024.485662128	   127.562990175	   106.447159728
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_32	  1040.669163411	   125.785955920	   110.144301897
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_196	   794.323720504	   125.072282793	     8.533775505
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_64	  1042.758880554	   129.272592531	   135.977939331
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_96	   908.458385611	   123.167700894	   153.672785625
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_245	   764.034978869	   115.357700704	     8.671074867
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_128	  1239.603774644	   130.334669016	   201.442412020
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_160	   829.285857059	   122.859840783	   128.310017762
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_294	   821.858983780	   124.463663181	    10.215099668
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_192	  1399.345804189	   135.598205892	   152.963203348
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_224	   747.852939323	   115.371553535	   107.735147571
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_343	   878.240387512	   129.957569816	     5.989751225
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_256	   869.868076596	   133.817851249	     2.559764090
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_288	   730.079517864	   121.293603745	     1.331141896
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_392	   758.331294664	   120.581074969	     5.457350871
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_441	   754.996277565	   119.126264840	     6.205229736
nl_mugII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   744.623868269	   116.921994932	     5.309729470	 5
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   798.540043567	   121.929424411	     6.703667282	 0
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   730.351096895	   120.184399590	   128.818137023
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   683.599020645	   107.725570198	    30.633981127
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_63	   845.422770342	   114.384417510	    23.630199288
nl_mugIII_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_126	   792.324557385	   116.429287101	    37.007595056
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_51	   877.344587322	   120.863345332	    39.812806905
